ESNT,Financial Services,Insurance - Specialty,6150794752,710510
RUSHB,Consumer Cyclical,Auto & Truck Dealerships,4668726784,19730
OEC,Basic Materials,Specialty Chemicals,820204032,460728
ENFC,Unknown,Unknown,,
EQFN,Financial Services,Banks - Regional,33983400,628
GDEN,Consumer Cyclical,Resorts & Casinos,929843136,205693
FSLR,Technology,Solar,17165679616,2170827
WFM,Unknown,Unknown,,
FISV,Unknown,Unknown,,
FLEX,Technology,Electronic Components,16239735808,4699669
PNC,Financial Services,Banks - Regional,77377961984,2011466
FTI,Energy,Oil & Gas Equipment & Services,12881566720,3465205
MFA,Real Estate,REIT - Mortgage,1090246528,973225
FRO,Energy,Oil & Gas Midstream,3851377920,3481023
PBCT,Unknown,Unknown,,
SYF,Financial Services,Credit Services,24911101952,3520832
SIVB,Unknown,Unknown,,
SFM,Consumer Defensive,Grocery Stores,17635465216,1284754
UNFI,Consumer Defensive,Food Distribution,2059419392,707289
IFF,Basic Materials,Specialty Chemicals,21988651008,1406871
GGAL,Financial Services,Banks - Regional,10491585536,1151683
FTK,Energy,Oil & Gas Equipment & Services,272631552,245111
FRT,Real Estate,REIT - Retail,9570964480,659798
KB,Financial Services,Banks - Regional,21030000640,188966
LPLA,Financial Services,Capital Markets,27799128064,526122
SFL,Industrials,Marine Shipping,1317999104,846013
RJF,Financial Services,Asset Management,32865515520,1208871
FN,Technology,Electronic Components,7702854144,617032
FCH,Unknown,Unknown,,
FLT,Unknown,Unknown,,
FGP,Unknown,Unknown,,
SFS,Unknown,Unknown,,
RAS,Unknown,Unknown,,
RFP,Unknown,Unknown,,
GIFI,Industrials,Metal Fabrication,112181584,47801
FRGI,Unknown,Unknown,,
FR,Real Estate,REIT - Industrial,7595041280,1041852
HIFS,Financial Services,Banks - Regional,604823168,11642
FLY,Unknown,Unknown,,
FISI,Financial Services,Banks - Regional,571190656,131279
MBFI,Unknown,Unknown,,
FORM,Technology,Semiconductor Equipment & Materials,2845535232,893381
FFNW,Financial Services,Banks - Regional,198352912,25305
MFSF,Unknown,Unknown,,
WSBF,Financial Services,Banks - Regional,278152352,47833
PFS,Financial Services,Banks - Regional,2470156800,583822
MTU,Unknown,Unknown,,
MSFG,Unknown,Unknown,,
GSM,Basic Materials,Other Industrial Metals & Mining,774086144,921335
VIRT,Financial Services,Capital Markets,5696237568,883971
NEWS,Unknown,Unknown,,
FPO,Unknown,Unknown,,
SMFG,Financial Services,Banks - Diversified,96090537984,1407811
NATH,Consumer Cyclical,Restaurants,410995744,10532
INTL,Unknown,Unknown,,15530
FI,Technology,Information Technology Services,130777399296,2793837
NICK,Unknown,Unknown,,
MOFG,Financial Services,Banks - Regional,675268736,119594
FRSH,Technology,Software - Application,5278745600,4157618
WAFD,Financial Services,Banks - Regional,2442461440,472066
SMMF,Unknown,Unknown,,
MFG,Financial Services,Banks - Regional,70390317056,1111823
FSFG,Financial Services,Banks - Regional,172864256,16269
PROV,Financial Services,Banks - Regional,105579400,7374
PLNT,Consumer Cyclical,Leisure,8785911808,1125537
PFSI,Financial Services,Mortgage Finance,5190577664,299883
HTLF,Financial Services,Banks - Regional,2774426880,275404
HMNF,Unknown,Unknown,,
FTEK,Industrials,Pollution & Treatment Controls,28739898,143137
REFR,Technology,Electronic Components,48265632,31920
FLL,Consumer Cyclical,Resorts & Casinos,192957968,193105
FFWM,Financial Services,Banks - Regional,430766848,485183
SBFG,Financial Services,Banks - Regional,155093792,23398
PNFP,Financial Services,Banks - Regional,9257453568,472394
FPI,Real Estate,REIT - Specialty,584611840,322649
FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",281384352,32872
SIFI,Unknown,Unknown,,233
OAKS,Unknown,Unknown,,
FCB,Unknown,Unknown,,
CBFV,Financial Services,Banks - Regional,157828992,7679
TCFC,Unknown,Unknown,,
PFBX,Financial Services,Banks - Regional,92303224,1725
MSBF,Unknown,Unknown,,
WLFC,Industrials,Rental & Leasing Services,1271987328,35511
OPOF,Financial Services,Banks - Regional,137114640,4996
CFBK,Financial Services,Banks - Regional,160052000,24927
WVFC,Financial Services,Banks - Regional,18419712,532
ORRF,Financial Services,Banks - Regional,657321024,108257
FMSA,Unknown,Unknown,,
FLOW,Unknown,Unknown,,2779
FSB,Unknown,Unknown,,
FPAY,Industrials,Rental & Leasing Services,39571316,249996
GS,Financial Services,Capital Markets,202497720320,2209659
MRVL,Technology,Semiconductors,89558548480,14455842
PCLN,Unknown,Unknown,,
GPS,Unknown,Unknown,,
HTZ,Industrials,Rental & Leasing Services,1196094976,4819522
KNDI,Consumer Cyclical,Auto Parts,100704240,220250
IGT,Consumer Cyclical,Gambling,3457827328,1201876
SPG,Real Estate,REIT - Retail,70212018176,1448784
GWW,Industrials,Industrial Distribution,50055524352,264028
GPRE,Basic Materials,Chemicals,423330272,1378450
MLNK,Technology,Software - Application,1461412608,239400
GOV,Unknown,Unknown,,
GGG,Industrials,Specialty Industrial Machinery,14531230720,803286
GES,Consumer Cyclical,Apparel Retail,634462336,1144896
GEO,Industrials,Security & Protection Services,3870439168,2922923
GGP,Unknown,Unknown,,
HCSG,Healthcare,Medical Care Facilities,828922432,418071
GEVO,Basic Materials,Specialty Chemicals,433326656,6578774
RGSE,Unknown,Unknown,,
TGI,Industrials,Aerospace & Defense,1960742144,1375655
GPN,Industrials,Specialty Business Services,25898065920,1677801
TAL,Consumer Defensive,Education & Training Services,8937346048,7210789
GWR,Unknown,Unknown,,
G,Technology,Information Technology Services,9700727808,1536784
MG,Industrials,Security & Protection Services,313825248,122620
GCO,Consumer Cyclical,Apparel Retail,449725344,200777
IHG,Consumer Cyclical,Lodging,21269237760,128318
GEF,Consumer Cyclical,Packaging & Containers,2905914112,187554
TDG,Industrials,Aerospace & Defense,74926776320,296279
SGU,Energy,Oil & Gas Refining & Marketing,447643936,27071
HSON,Industrials,Staffing & Employment Services,32501040,7857
PGEM,Unknown,Unknown,,
KRG,Real Estate,REIT - Retail,5202436608,1717277
GLNG,Energy,Oil & Gas Midstream,4277082624,1270723
THRM,Consumer Cyclical,Auto Parts,1096065408,205844
MDU,Industrials,Conglomerates,3443668224,1953408
GSOL,Unknown,Unknown,,156684
GNRC,Industrials,Specialty Industrial Machinery,8752815104,764277
PENN,Consumer Cyclical,Resorts & Casinos,3424994560,3923574
RUTH,Unknown,Unknown,,
JMP,Unknown,Unknown,,
GSL,Industrials,Rental & Leasing Services,797404480,332115
GLOG,Unknown,Unknown,,
GIMO,Unknown,Unknown,,
QVCA,Unknown,Unknown,,
NSH,Unknown,Unknown,,
ITG,Unknown,Unknown,,
GGB,Basic Materials,Steel,5975885312,9780947
WLDN,Industrials,Engineering & Construction,490699040,118216
WG,Unknown,Unknown,,
WES,Energy,Oil & Gas Midstream,15412477952,1264700
PAGP,Energy,Oil & Gas Midstream,4869019136,1732861
PRAA,Financial Services,Credit Services,926133184,253408
MRC,Energy,Oil & Gas Equipment & Services,1115830912,593191
GPRK,Energy,Oil & Gas E&P,459713120,758403
GMLP,Unknown,Unknown,,
GENC,Industrials,Farm & Heavy Construction Machinery,204328336,23571
SERV,Industrials,Specialty Industrial Machinery,1180380032,10223867
ROCK,Industrials,Building Products & Equipment,1792855552,197130
PRGX,Unknown,Unknown,,
HUBG,Industrials,Integrated Freight & Logistics,2609847296,569054
GSIT,Technology,Semiconductors,87302144,1771794
GAIA,Communication Services,Entertainment,125510040,33611
WSTG,Unknown,Unknown,,
THR,Industrials,Specialty Industrial Machinery,1009018496,179303
GLOP,Unknown,Unknown,,
TNET,Industrials,Staffing & Employment Services,3887421184,299184
TGH,Unknown,Unknown,,
ORN,Industrials,Engineering & Construction,317435424,402961
KONA,Unknown,Unknown,,
ZN,Unknown,Unknown,,
MYRG,Industrials,Engineering & Construction,2162107904,177281
LHCG,Unknown,Unknown,,
GTIM,Consumer Cyclical,Restaurants,26388688,12013
GOGL,Industrials,Marine Shipping,1864418176,1718135
NVEE,Industrials,Engineering & Construction,1145216128,418747
NGS,Energy,Oil & Gas Equipment & Services,342236960,85738
MARA,Financial Services,Capital Markets,5738949632,54035303
GURE,Basic Materials,Chemicals,8259713,106296
GPT,Unknown,Unknown,,
GNK,Industrials,Marine Shipping,625120512,440572
GYRO,Real Estate,Real Estate Services,20046490,759
GASS,Industrials,Marine Shipping,209425968,156513
ZAYO,Unknown,Unknown,,
SGOC,Unknown,Unknown,,
RAVE,Consumer Cyclical,Restaurants,35307840,19523
GSH,Unknown,Unknown,,
SGRP,Industrials,Specialty Business Services,46430408,104327
GPP,Unknown,Unknown,,
OSG,Unknown,Unknown,,
GRAM,Consumer Defensive,Tobacco,15220644,303520
STKS,Consumer Cyclical,Restaurants,100583064,123042
HPQ,Technology,Computer Hardware,31228674048,7041640
HON,Industrials,Conglomerates,133476196352,3942922
VIPS,Consumer Cyclical,Internet Retail,7946317312,3041057
HCN,Unknown,Unknown,,
HCP,Technology,Software - Infrastructure,7024799232,2496942
HP,Energy,Oil & Gas Drilling,2712041984,1521491
HOG,Consumer Cyclical,Recreational Vehicles,3296495872,1802793
PYPL,Financial Services,Credit Services,75766038528,9793916
LL,Unknown,Unknown,,
RHI,Industrials,Staffing & Employment Services,6025495040,1030581
OHI,Real Estate,REIT - Healthcare Facilities,10515108864,1949116
HLF,Consumer Defensive,Packaged Foods,526134208,2223401
HA,Unknown,Unknown,,
RH,Consumer Cyclical,Specialty Retail,7075575296,628740
HSBC,Financial Services,Banks - Diversified,196641423360,1176235
HR,Real Estate,REIT - Healthcare Facilities,5928662016,2783681
HST,Real Estate,REIT - Hotel & Motel,11634046976,7283676
HLT,Consumer Cyclical,Lodging,64845697024,1403044
HIMX,Technology,Semiconductors,1735008000,3439618
HCLP,Unknown,Unknown,,
SNH,Unknown,Unknown,,
HPT,Unknown,Unknown,,
SLCA,Unknown,Unknown,,
HWKN,Basic Materials,Specialty Chemicals,2358489088,136701
HOS,Unknown,Unknown,,
HDS,Unknown,Unknown,,
HTH,Financial Services,Banks - Regional,2073128832,344374
HSII,Industrials,Staffing & Employment Services,919643072,133769
LQ,Unknown,Unknown,,
JHX,Basic Materials,Building Materials,14011902976,93566
NM,Unknown,Unknown,,
NHI,Real Estate,REIT - Healthcare Facilities,3080526848,222145
NSM,Unknown,Unknown,,
MLHR,Unknown,Unknown,,
ITUB,Financial Services,Banks - Regional,54028263424,27657445
RHP,Real Estate,REIT - Hotel & Motel,6136279040,451923
HIBB,Unknown,Unknown,,
MKTX,Financial Services,Capital Markets,7217376256,482977
JBHT,Industrials,Integrated Freight & Logistics,16637831168,818335
HPP,Real Estate,REIT - Office,412993472,4264427
TRQ,Unknown,Unknown,,
SLGN,Consumer Cyclical,Packaging & Containers,5681494016,731164
OPHC,Financial Services,Banks - Regional,55271476,54269
NMR,Financial Services,Capital Markets,20011782144,525032
HI,Industrials,Specialty Industrial Machinery,2437250048,462503
WBC,Unknown,Unknown,,
TTS,Unknown,Unknown,,
MTSI,Technology,Semiconductors,9076146176,665732
LHO,Unknown,Unknown,,
HII,Industrials,Aerospace & Defense,6292919296,609715
HABT,Unknown,Unknown,,
SAEX,Unknown,Unknown,,
KOP,Basic Materials,Specialty Chemicals,610904640,131077
HMST,Financial Services,Banks - Regional,195553312,175301
HIW,Real Estate,REIT - Office,3212016640,923393
HIHO,Industrials,Metal Fabrication,8231403,9827
HGT,Unknown,Unknown,,
OPY,Financial Services,Capital Markets,659556608,26749
IPHS,Unknown,Unknown,,
HT,Unknown,Unknown,,
HPJ,Unknown,Unknown,,
HELE,Consumer Defensive,Household & Personal Products,1294546816,421647
RICK,Consumer Cyclical,Restaurants,452920256,89781
LXFR,Industrials,Specialty Industrial Machinery,394004416,117810
UHT,Real Estate,REIT - Healthcare Facilities,545674240,69277
TTEC,Technology,Information Technology Services,167528432,327462
PEB,Real Estate,REIT - Hotel & Motel,1468633216,1745635
MCFT,Consumer Cyclical,Recreational Vehicles,319302656,84937
TANH,Consumer Defensive,Household & Personal Products,4553525,204613
HDSN,Basic Materials,Specialty Chemicals,256275504,468562
HAYN,Unknown,Unknown,,
XHR,Real Estate,REIT - Hotel & Motel,1539068160,668496
VBTX,Financial Services,Banks - Regional,1456148992,403477
SPWH,Consumer Cyclical,Specialty Retail,65666128,549438
QCRH,Financial Services,Banks - Regional,1310887296,77342
HY,Industrials,Farm & Heavy Construction Machinery,916204160,77101
SHO,Real Estate,REIT - Hotel & Motel,2236028160,2634115
HLI,Financial Services,Capital Markets,12519443456,377564
HNH,Unknown,Unknown,,
TSC,Unknown,Unknown,,
NVGS,Energy,Oil & Gas Midstream,1151537408,182852
NHLD,Unknown,Unknown,,
ISTR,Financial Services,Banks - Regional,190081456,30122
HMLP,Unknown,Unknown,,
SOHO,Real Estate,REIT - Hotel & Motel,33504270,75466
HDNG,Unknown,Unknown,,
HBM,Basic Materials,Copper,3572981504,4691538
RVEN,Unknown,Unknown,,
PATI,Unknown,Unknown,,
HEI-A,Industrials,Aerospace & Defense,27548350464,224435
TSLA,Consumer Cyclical,Auto Manufacturers,1144888098816,82513418
MU,Technology,Semiconductors,106581508096,23671454
V,Financial Services,Credit Services,686013874176,6061979
KMI,Energy,Oil & Gas Midstream,59006754816,14268852
UPS,Industrials,Integrated Freight & Logistics,98683707392,5568698
TXN,Technology,Semiconductors,164928847872,6090011
M,Consumer Cyclical,Department Stores,4195079936,7127405
MAR,Consumer Cyclical,Lodging,79466323968,1341993
MA,Financial Services,Credit Services,516309385216,2631122
ROST,Consumer Cyclical,Apparel Retail,46335229952,2585711
JNPR,Technology,Communication Equipment,12031773696,4335322
SWKS,Technology,Semiconductors,10637839360,2919549
NOV,Energy,Oil & Gas Equipment & Services,6198108160,4219994
SRCL,Industrials,Waste Management,5754061824,1611431
PAYX,Technology,Software - Application,53516165120,1866954
MCHP,Technology,Semiconductors,29182058496,8967618
XLNX,Unknown,Unknown,,
MXIM,Unknown,Unknown,,
WTW,Financial Services,Insurance Brokers,32165412864,661081
URBN,Consumer Cyclical,Apparel Retail,5197969408,1964284
NTAP,Technology,Computer Hardware,23935215616,1745659
SHAK,Consumer Cyclical,Restaurants,4641747456,964825
PPG,Basic Materials,Specialty Chemicals,27357440000,2035359
PCAR,Industrials,Farm & Heavy Construction Machinery,55198343168,2191501
VTR,Real Estate,REIT - Healthcare Facilities,28384040960,2634288
TER,Technology,Semiconductor Equipment & Materials,18377234432,2600705
WM,Industrials,Waste Management,91350908928,1687671
JWN,Consumer Cyclical,Department Stores,4012292608,2695325
ITW,Industrials,Specialty Industrial Machinery,76804579328,910820
MGM,Consumer Cyclical,Resorts & Casinos,11883878400,4149955
WSO,Industrials,Industrial Distribution,19209906176,204522
TRN,Industrials,Railroads,2889672448,471533
MLM,Basic Materials,Building Materials,32494047232,411589
R,Industrials,Rental & Leasing Services,6778615296,309781
PX,Financial Services,Asset Management,1420660224,760996
MXL,Technology,Semiconductors,1390530048,1806637
TGLS,Basic Materials,Building Materials,3479532032,269113
RSG,Industrials,Waste Management,70299492352,980810
LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1342950144,1806918
URI,Industrials,Rental & Leasing Services,47633039360,582716
NBR,Energy,Oil & Gas Drilling,474431168,300769
IR,Industrials,Specialty Industrial Machinery,37298761728,2057754
WFT,Unknown,Unknown,,
TSS,Unknown,Unknown,,
MAN,Industrials,Staffing & Employment Services,2590419968,720471
LTC,Real Estate,REIT - Healthcare Facilities,1564665856,319816
WPRT,Consumer Cyclical,Auto Parts,77174096,70171
RMBS,Technology,Semiconductors,6671595008,943672
RCII,Unknown,Unknown,,
NYMT,Real Estate,REIT - Mortgage,551628544,716837
WSM,Consumer Cyclical,Specialty Retail,25489086464,1876766
RES,Energy,Oil & Gas Equipment & Services,1304880128,1522133
PII,Consumer Cyclical,Recreational Vehicles,2476201472,1345106
OAS,Unknown,Unknown,,
TDW,Energy,Oil & Gas Equipment & Services,2846371328,1052950
STWD,Real Estate,REIT - Mortgage,6819248128,2047418
